keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
scheduledDelivery,Schedule Delivery,সময়সূচী বিতরণ,अनुसूची वितरण,ವೇಳಾಪಟ್ಟಿ ವಿತರಣೆ,ସ୍ଥାୟୀ ବିତରଣ କାର୍ଯ୍ୟସୂଚୀ |,নিৰ্ধাৰিত ডেলিভাৰী,અનુસૂચિ -વિતરણ,शेड्यूल वितरण,ഷെഡ്യൂൾ ഡെലിവറി,ਤਹਿ ਡਿਲਿਵਰੀ,டெலிவரி அட்டவணை,షెడ్యూల్ చేయబడిన డెలివరీ
am,am,আমি,पूर्वाह्न,ಬೆಲಿಗ್ಗೆ,ମୁଁ,AM,સવારે,ए एम ,ആകുന്നു,ਸਵੇਰੇ,நான்,am
pm,pm,প্রধানমন্ত্রী,बजे,ಮಧ್ಯಾಹ್ನ,PM,পি এম,બપોરે,पि एम,പ്രധാനമന്ത്രി,ਪ੍ਰਧਾਨ ਮੰਤਰੀ,மாலை,PM
hour,hour,ঘন্টা,घंटा,ಗಂಟೆ,ଘଣ୍ଟା,ঘণ্টা,કલાક,तास,മണിക്കൂര്,ਘੰਟਾ,மணி,గంట
freeDelivery,Free Delivery,বিনামূল্যে বিতরণ,नि: शुल्क डिलिवरी,ಉಚಿತ ವಿತರಣೆ,ମାଗଣା ବିତରଣ |,বিনামূলীয়া ডেলিভাৰী,મફત ડીલીવરી,विनामूल्य वितरण,സൌജന്യമായി എത്തിച്ചു കൊടുക്കുക,ਮੁਫਤ ਡਿਲਿਵਰੀ,இலவச விநியோகம்,ఉచిత డెలివరీ
enterCvv,Enter CVV,সিভিভি লিখুন,CVV दर्ज करें,ಸಿವಿವಿ ನಮೂದಿಸಿ,CVV ପ୍ରବେଶ କରନ୍ତୁ |,চিভিভি দিয়ক,સીવીવી દાખલ કરો,सीव्हीव्ही प्रविष्ट करा,സിവിവി നൽകുക,ਸੀਵੀਵੀ ਦਰਜ ਕਰੋ,சி.வி.வி.,CVV ని నమోదు చేయండి
cardNumber,Card Number,কার্ড নম্বর,कार्ड नंबर,ಕಾರ್ಡ್ ಸಂಖ್ಯೆ,କାର୍ଡ଼ ସଂଖ୍ୟା,কাৰ্ড নম্বৰ,કાર્ડ ક્રમાંક,कार्ड नंबर,കാർഡ് നമ്പർ,ਕਾਰਡ ਨੰਬਰ,அட்டை எண்,కార్డ్ సంఖ్య
expiry,Expiry,মেয়াদোত্তীর্ণ,समाप्ति,ಮುಗಿದಿದೆ,ସମାପ୍ତି,মেয়াদ উকলি যোৱা,એક્સપાયરી,समाप्ती,കാലഹരണപ്പെടൽ,ਮਿਆਦ ਖਤਮ,காலாவதியாகும்,గడువు
nameOnCard,Name on Card.,কার্ডের ওপর নাম.,कार्ड पर नाम।,ಕಾರ್ಡ್ನಲ್ಲಿ ಹೆಸರು.,ପତ୍ର ଉପରେ ଲିଖିତ ନାମ।,কাৰ্ডত নাম।,કાર્ડ પરનું નામ.,कार्डवरील नाव.,കാർഡിലെ പേര്.,ਕਾਰਡ 'ਤੇ ਨਾਮ.,அட்டையிலுள்ள பெயர்.,కర్డుపై పేరు.
saveCardDetails,Save Card Details,কার্ডের বিশদ সংরক্ষণ করুন,कार्ड विवरण सहेजें,ಕಾರ್ಡ್ ವಿವರಗಳನ್ನು ಉಳಿಸಿ,କାର୍ଡ ବିବରଣୀ ସଞ୍ଚୟ କରନ୍ତୁ |,কাৰ্ডৰ বিৱৰণ সংৰক্ষণ কৰক,કાર્ડની વિગતો સાચવો,कार्ड तपशील जतन करा,കാർഡ് വിശദാംശങ്ങൾ സംരക്ഷിക്കുക,ਕਾਰਡ ਦੇ ਵੇਰਵੇ ਸੁਰੱਖਿਅਤ ਕਰੋ,அட்டை விவரங்களைச் சேமிக்கவும்,కార్డు వివరాలను సేవ్ చేయండి
icici,ICICI,আইসিআইসিআই,आईसीआईसीआई,ಐಸಿಐಸಿಐ,ଆଇସିସି,আইচিচি,આઇસીઆઈસીઆઈ,आयसीआयसीआय,ഐസിഐസിഐ,ਆਈਸੀਆਈਸੀਆਈ,ICICI,ఐసిసి
sbi,SBI,এসবিআই,स्टेट बैंक ऑफ इंडिया,ಎಸ್.ಬಿ.ಐ,SBI,sbi,એસ.બી.આઈ.,एसबीआय,എസ്ബിഐ,ਐਸਬੀਆਈ,எஸ்பிஐ,Sbi
hdfc,HDFC,এইচডিএফসি,एचडीएफसी,ಎಚ್ಡಿಎಫ್ಸಿ,HDFC,hdfc,એચડીએફસી,एचडीएफसी,എച്ച്ഡിഎഫ്സി,ਐਚਡੀਐਫਸੀ,HDFC,HDFC
moreBanks,More Banks,আরও ব্যাংক,अधिक बैंक,ಇತರೆ ಬ್ಯಾಂಕುಗಳು,ଅଧିକ ବ୍ୟାଙ୍କଗୁଡିକ |,অধিক বেংক,અન્ય બેંકો,अधिक बँका,കൂടുതൽ ബാങ്കുകൾ,ਹੋਰ ਬੈਂਕਾਂ,மேலும் வங்கிகள்,మరిన్ని బ్యాంకులు
orderConfirmed,Order Confirmed,আদেশ সমর্থন করা হলো,ऑर्डर की पुष्टि की गई,ಆದೇಶವನ್ನು ದೃ confirmed ಪಡಿಸಲಾಗಿದೆ,ଅର୍ଡର ନିଶ୍ଚିତ ହୋଇଛି |,oder নিশ্চিত কৰা হৈছে,ઓર્ડર કન્ફર્મ,निश्चित ऑर्डर ,ഓർഡർ സ്ഥിരീകരിച്ചു,ਆਰਡਰ ਦੀ ਪੁਸ਼ਟੀ ਕੀਤੀ ਗਈ,ஆர்டர் உறுதிப்படுத்தப்பட்டது,ఆర్డర్ ధృవీకరించబడింది
orderNumber,Order Number,অর্ডার নম্বর,क्रम संख्या,ಆದೇಶ ಸಂಖ್ಯೆ,ଅର୍ଡର ନମ୍ବର,অৰ্ডাৰ নম্বৰ,ઓર્ડર નંબર,ऑर्डर क्रमांक,ഓർഡർ നമ്പർ,ਕ੍ਰਮ ਸੰਖਿਆ,ஆர்டர் எண்,ఆర్డర్ సంఖ్య
payment,Payment ,অর্থ প্রদান,भुगतान,ಪಾವತಿ,ଦେୟ,পৰিশোধ,ચુકવણી,पेमेंट,പേയ്മെന്റ്,ਭੁਗਤਾਨ,கட்டணம்,చెల్లింపు
dateOfOrder,Date of Order,আদেশের তারিখ,आदेश की तिथि,ಆದೇಶದ ದಿನಾಂಕ,କ୍ରମର ତାରିଖ,অৰ্ডাৰৰ তাৰিখ,ઓર્ડર તારીખ,ऑर्डरची तारीख,ക്രമത്തിന്റെ തീയതി,ਆਰਡਰ ਦੀ ਮਿਤੀ,ஆர்டர் தேதி,ఆర్డర్ తేదీ
,,,,,,,,,,,,
trackOrder,Track Order,ট্র্যাক আদেশ,ऑर्डर पर नज़र रखें,ಟ್ರ್ಯಾಕ್ ಆದೇಶ,ଟ୍ରାକ୍ ଅର୍ଡର |,ট্ৰেক অৰ্ডাৰ,ટ્રેક ઓર્ડર,ट्रॅक ऑर्डर,ട്രാക്ക് ഓർഡർ,ਟਰੈਕ ਆਰਡਰ,பாதையில் பொருட்டு,ట్రాక్ ఆర్డర్
activeOrder,Active Order,সক্রিয় আদেশ,सक्रिय आदेश,ಸಕ್ರಿಯ ಕ್ರಮ,ସକ୍ରିୟ କ୍ରମ |,সক্ৰিয় ক্ৰম,એક્ટીવ ઓર્ડર,सक्रिय ऑर्डर,സജീവ ഓർഡർ,ਐਕਟਿਵ ਆਰਡਰ,செயலில் வரிசை,యాక్టివ్ ఆర్డర్
view,View,দেখুন,राय,ನೋಟ,ଦର୍ଶନ,দৰ্শন,જુઓ,पहा,ദര്ശനം,ਵੇਖੋ,பார்வை,చూడండి
chat,Chat,চ্যাট,बात करना,ಸಂಭಾಷಣೆ,ଚାଟ୍ କରନ୍ତୁ |,চাট,ચેટ,गप्पा,സല്ലാപം,ਗੱਲਬਾਤ,அரட்டை,చాట్
orderDetails,Order Details,আদেশ বিবরণী,ऑर्डर का विवरण,ಆದೇಶದ ವಿವರಗಳು,ବିବରଣୀ ଅର୍ଡର କରନ୍ତୁ |,অৰ্ডাৰৰ বিৱৰণ,ઓર્ડરની વિગતતો,ऑर्डर तपशील,വിശദാംശങ്ങൾ ഓർഡർ ചെയ്യുക,ਆਰਡਰ ਵੇਰਵੇ,ஆணை விவரங்கள்,ఆర్డర్ వివరాలు
cancel,Cancel,বাতিল,रद्द करना,ರದ್ದುಮಾಡು,ବାତିଲ୍ କରନ୍ତୁ |,বাতিল কৰক,રદ કરવું,रद्द करा,റദ്ദാക്കുക,ਰੱਦ ਕਰੋ,ரத்துசெய்,రద్దు చేయండి
delivery,Delivery,বিতরণ,वितरण,ವಿತರಣೆ,ବିତରଣ,বিলি কৰা,ડિલિવરી,वितरण,പസവം,ਡਿਲਿਵਰੀ,டெலிவரி,డెలివరీ
support,Support,সমর্থন,सहायता,ಬೆಂಬಲ,ସମର୍ଥନ,সমৰ্থন,સપોર્ટ,मदत,പിന്താങ്ങുക,ਸਹਾਇਤਾ,ஆதரவு,మద్దతు
payment,Payment,অর্থ প্রদান,भुगतान,ಪಾವತಿ,ଦେୟ,পৰিশোধ,ચુકવણી,पेमेंट,പേയ്മെന്റ്,ਭੁਗਤਾਨ,கட்டணம்,చెల్లింపు
orderTotal,Order Total,আদেশ মোট,कुल आर्डर,ಆದೇಶದ ಒಟ್ಟು,ସମୁଦାୟ ଅର୍ଡର କରନ୍ତୁ |,অৰ্ডাৰ মুঠ,ક્રમ કુલ,एकूण ऑर्डर,ഓർഡർ ആകെ,ਆਰਡਰ ਕੁੱਲ,மொத்தம் ஆர்டர்,ఆర్డర్ మొత్తం
orderPlaced,Order Placed,আদেশ স্থাপন,आदेश रखा,ಆದೇಶವನ್ನು ಇರಿಸಲಾಗಿದೆ,ଦିଆଯାଇଥିବା ଆଦେଶ,অৰ্ডাৰ দিয়া হৈছে,ઓર્ડર નોંધાઇ ચૂક્યો છે,ऑर्डर दिली,ഓർഡർ ചെയ്തു,ਆਰਡਰ ਰੱਖਿਆ,ஆர்டர் வைக்கப்பட்டுள்ளது,ఆర్డర్ ఉంచారు
orederAccepted,Order Accepted,অর্ডার গৃহীত,आदेश स्वीकार किया गया,ಆದೇಶವನ್ನು ಸ್ವೀಕರಿಸಲಾಗಿದೆ,ଆଦେଶ ଗ୍ରହଣ,অৰ্ডাৰ গ্ৰহণ কৰা হৈছে,આદેશ,ऑर्डर स्वीकारली,ഓർഡർ സ്വീകരിച്ചു,ਆਰਡਰ ਸਵੀਕਾਰ,ஆர்டர் ஏற்றுக்கொள்ளப்பட்டது,ఆర్డర్ అంగీకరించబడింది
processing,Processing,প্রক্রিয়াজাতকরণ,प्रसंस्करण,ಸಂಸ್ಕರಣೆ,ପ୍ରକ୍ରିୟାକରଣ,প্ৰক্ৰিয়াকৰণ,પ્રક્રિયા,प्रक्रिया,നടപടി,ਕਾਰਵਾਈ,செயலாக்கம்,ప్రాసెసింగ్
ready,Ready,প্রস্তুত,तैयार,ಸಿದ್ಧವಾದ,ପ୍ରସ୍ତୁତ,সাজু,તૈયાર,तयार,തയ്യാറാണ്,ਤਿਆਰ,தயார்,సిద్ధంగా ఉంది
dispatched,Dispatched,প্রেরণ,भेजा गया,ರವಾನಿಸಿದ,ପଠାଗଲା,প্ৰেৰণ কৰা হৈছে,રવાના,पाठवले,അയച്ചു,ਭੇਜਿਆ,அனுப்பப்பட்டது,పంపబడింది
contactSeller,Contact Seller,বিক্রেতার সাথে যোগাযোগ করুন,विक्रेता से संपर्क कारें,ಸಂಪರ್ಕ ಮಾರಾಟಗಾರ,ବିକ୍ରେତାଙ୍କ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,বিক্ৰেতাৰ সৈতে যোগাযোগ কৰক,સંપર્ક વિક્રેતા,विक्रेत्याशी संपर्क साधा,വിൽപ്പനക്കാരനെ ബന്ധപ്പെടുക,ਸੰਪਰਕ ਵੇਚਣ ਵਾਲੇ,விற்பனையாளரை தொடர்புகொள்ளுங்கள்,విక్రేతను సంప్రదించండి
viewOrderSummary,View Order Summary,অর্ডার সংক্ষিপ্তসার দেখুন,देखें आदेश सारांश,ಆದೇಶ ಸಾರಾಂಶವನ್ನು ವೀಕ್ಷಿಸಿ,ଅର୍ଡର ସାରାଂଶ ଦେଖନ୍ତୁ |,অৰ্ডাৰৰ সাৰাংশ চাওক,ઓર્ડર સારાંશ જુઓ,ऑर्डर सारांश पहा,ഓർഡർ സംഗ്രഹം കാണുക,ਆਰਡਰ ਸੰਖੇਪ ਵੇਖੋ,ஆர்டர் சுருக்கத்தைக் காண்க,ఆర్డర్ సారాంశాన్ని చూడండి
addInstructions,Add Instructions,নির্দেশাবলী যুক্ত করুন,निर्देश जोड़ें,ಸೂಚನೆಗಳನ್ನು ಸೇರಿಸಿ,ନିର୍ଦ୍ଦେଶାବଳୀ ଯୋଡନ୍ତୁ,নিৰ্দেশনা যোগ কৰক,સૂચનો ઉમેરો,सूचना जोडा,നിർദ്ദേശങ്ങൾ ചേർക്കുക,ਨਿਰਦੇਸ਼ ਸ਼ਾਮਲ ਕਰੋ,வழிமுறைகளைச் சேர்க்கவும்,సూచనలను జోడించండి
myAccount,My Account ,আমার অ্যাকাউন্ট,मेरा खाता,ನನ್ನ ಖಾತೆ,ମୋ ଖାତା,মোৰ একাউণ্ট,મારું ખાતું,माझे खाते,എന്റെ അക്കൗണ്ട്,ਮੇਰਾ ਖਾਤਾ,என் கணக்கு,నా ఖాతా
favourite,Favourite,প্রিয়,पसंदीदा,ನೆಚ್ಚಿನ,ପ୍ରିୟ,প্ৰিয়,મનપસંદ,आवडते,പേമഭാജനം,ਪਸੰਦੀਦਾ,பிடித்த,ఇష్టమైన
settings,Settings,সেটিংস,समायोजन,ಸಂಯೋಜನೆಗಳು,ସେଟିଂସମୂହ,ছেটিংছ,સેટીંગ્સ,सेटिंग्ज,ക്രമീകരണങ്ങൾ,ਸੈਟਿੰਗਜ਼,அமைப்புகள்,సెట్టింగులు
myAddress,My Address,আমার ঠিকানা,मेरा पता,ನನ್ನ ವಿಳಾಸ,ମୋ ଠିକଣା,মোৰ ঠিকনা,મારું સરનામું,माझा पत्ता,എന്റെ വിലാസം,ਮੇਰਾ ਪਤਾ,என் முகவரி,నా చిరునామా
myFamily,My Family,আমার পরিবার,मेरा परिवार,ನನ್ನ ಕುಟುಂಬ,ମୋର ପରିବାର,মোৰ পৰিয়াল,મારું કુટુંબ,माझे कुटुंब,എന്റെ കുടുംബം,ਮੇਰਾ ਪਰਿਵਾਰ,என் குடும்பம்,నా కుటుంబం
